카드 이름,연회비 (국내 / 해외),기준실적,주요 혜택,이벤트
카드의정석 EVERY MILE SKYPASS,3만9천원 / 3만9천원,직전 1개월 합계 50만원 이상,스카이패스 1천원당 최대 2마일 적립,신규 회원 최대 3만9천원 지급
DA카드의정석Ⅱ,1만2천원 / 1만2천원,직전 1개월 합계 30만원 이상,할인한도 없이 국내외 청구할인,신규 회원 최대 100% 지급
카드의정석 SHOPPING+,1만원 / 1만2천원,직전 1개월 합계 30만원 이상,온오프라인 쇼핑 10% 청구할인,신규 회원 최대 100% 지급
카드의정석 TEN,1만2천원 / 1만2천원,직전 1개월 합계 40만원 이상,5대 일상영역 10% 청구할인,신규 회원 최대 100% 지급
카드의정석 EVERY DISCOUNT,1만2천원 / 1만2천원,조건없음,국내외 가맹점 기본 0.8% 청구할인,신규 회원 최대 100% 지급
카드의정석 EVERY POINT,1만2천원 / 1만2천원,조건없음,국내외 가맹점 기본 0.8% 적립,신규 회원 최대 100% 지급
카드의정석 I&U+,1만2천원 / 1만2천원,직전 1개월 합계 30만원 이상,국내가맹점 최대 1% 청구할인,신규 회원 최대 100% 지급
우리 K-패스,1만3천원 / 1만5천원,직전 1개월 합계 30만원 이상,대중교통 및 자동납부 10% 청구할인,신규 회원 최대 100% 지급
D4카드의정석Ⅱ,1만2천원 / 1만2천원,직전 1개월 합계 30만원 이상,커피 55% 대중교통 33% 청구할인 신규 회원 최대 100% 지급
우리 국민행복카드 S2,없음 / 없음,직전 1개월 합계 30만원 이상,"국가바우처 임신/출산/보육 혜택 제공",없음
트래블월렛 우리카드,2만원 / 2만원,직전 1개월 합계 40만원 이상,해외 신용&선불결제 수수료 면제서비스,신규 회원 최대 2만원 지급
"카드의정석 Dear Shopper",15만원 / 15만원,직전 1개월 합계 50만원 이상,퍼스널 쇼핑 5% 적립,바우처
"카드의정석 Dear Traveler",15만원 / 15만원,직전 1개월 합계 50만원 이상,퍼스널 트래블 5% 적립,바우처
ALL 우리카드 Infinite,50만원 / 50만원,직전 1개월 합계 50만원 이상,1만 4천 ALL 리워드 포인트 제공,바우처
ALL 우리카드 Premium,15만원 / 15만원,직전 1개월 합계 50만원 이상,4천 ALL 리워드 포인트 제공,바우처
